n,np,time_serial_s,time_mpi_max_s,speedup
29,9,0.0,1.3e-05,0.0
29,10,0.0,1.3e-05,0.0
30,1,0.0,2e-06,0.0
30,2,0.0,8e-06,0.0
30,3,0.0,5e-06,0.0
30,4,0.0,8e-06,0.0
30,5,1e-06,5.6e-05,0.018
30,6,0.0,1e-05,0.0
30,7,0.0,1.2e-05,0.0
30,8,0.0,1e-05,0.0
30,9,0.0,1.4e-05,0.0
30,10,0.0,2.1e-05,0.0
31,1,0.0,3e-06,0.0
31,2,0.0,4e-06,0.0
31,3,1e-06,6e-06,0.167
31,4,0.0,7e-06,0.0
31,5,0.0,1e-05,0.0
31,6,0.0,4.7e-05,0.0
31,7,1e-06,1.2e-05,0.083
31,8,0.0,9e-06,0.0
31,9,0.0,1.4e-05,0.0
31,10,0.0,1.4e-05,0.0
32,1,0.0,7e-06,0.0
32,2,0.0,6e-06,0.0
32,3,1e-06,5e-06,0.2
32,4,1e-06,8e-06,0.125
32,5,0.0,5e-06,0.0
32,6,0.0,1.1e-05,0.0
32,7,0.0,1.1e-05,0.0
32,8,0.0,1e-05,0.0
32,9,0.0,1.3e-05,0.0
32,10,0.0,1.2e-05,0.0
33,1,0.0,3e-06,0.0
33,2,0.0,5e-06,0.0
33,3,0.0,5e-06,0.0
33,4,0.0,5e-06,0.0
33,5,0.0,6e-06,0.0
33,6,0.0,1.1e-05,0.0
33,7,0.0,9e-06,0.0
33,8,0.0,1.1e-05,0.0
33,9,0.0,1.5e-05,0.0
33,10,0.0,1.4e-05,0.0
34,1,0.0,4e-06,0.0
34,2,0.0,5e-06,0.0
34,3,0.0,6e-06,0.0
34,4,0.0,5e-06,0.0
34,5,0.0,9e-06,0.0
34,6,0.0,1.3e-05,0.0
34,7,1e-06,1.4e-05,0.071
34,8,0.0,2e-05,0.0
34,9,0.0,1.5e-05,0.0
34,10,0.0,1.2e-05,0.0
35,1,1e-06,2e-06,0.5
35,2,0.0,5e-06,0.0
35,3,0.0,5e-06,0.0
35,4,0.0,6e-06,0.0
35,5,0.0,1e-05,0.0
35,6,0.0,1.1e-05,0.0
35,7,1e-06,1.1e-05,0.091
35,8,0.0,1e-05,0.0
35,9,0.0,1.6e-05,0.0
35,10,0.0,1.2e-05,0.0
36,1,0.0,2e-06,0.0
36,2,0.0,5e-06,0.0
36,3,0.0,4e-06,0.0
36,4,0.0,5e-06,0.0
36,5,0.0,1e-05,0.0
36,6,0.0,9e-06,0.0
36,7,0.0,1.2e-05,0.0
36,8,0.0,1.1e-05,0.0
36,9,0.0,1.3e-05,0.0
36,10,0.0,1.3e-05,0.0
37,1,0.0,3e-06,0.0
37,2,0.0,5e-06,0.0
37,3,0.0,7e-06,0.0
37,4,0.0,5e-06,0.0
37,5,0.0,6e-06,0.0
37,6,0.0,1.4e-05,0.0
37,7,0.0,1.3e-05,0.0
37,8,1e-06,1.8e-05,0.056
